Item,Serving,Calories,Carbs,Protein,Fat,Fiber,Food cause
Banana yoghurtoatmeal smoothie,1 glass,228,36.3,7.7,6,2.4,
Chicken breast salad,1 katori,168,15.5,9.5,7.9,2.4,
Apple pear oatmeal smoothie,1 glass,235,27.6,6.4,6.7,5.7,
Boiled chicken,0.5 katori,78,0.1,18.4,0.45,0.05,
Grilled chicken drumstick,1 drumstick,172,0.8,27.7,5.6,0.1,
Garden Chicken Salad with Grilled Chicken - no dressing,0.5 gm,175,8,21.5,7,1,
Chicken lettuce salad,1 katori,128,1.7,13.2,7.3,0.6,
Strawberry,4 medium,20,4.8,0.4,0,1.2,
Banana Milkshake,1 Glass,197,29.3,6.5,5.5,1.3,
Banana,1 piece,,117,27.5,1.2,0.3,
Coconut water,1 piece,49,9.1,2.9,0.2,2.3,
Watermelon,1 cup,42,24,5,0.3,0.3,
Carrot beetroot juice,1 glass,72,15.7,2.1,0,1,
Sweet corn and moong dal chaat,1 katori,72,12.5,3.9,1.1,2,
Roasted chana,1 katori,270,46,9.6,5.3,7.2,
Vegetable juice,1 glass,55,11.5,1.5,0.3,2,
Mosambi Juice,1 Glass,94,20.2,1.7,0.7,5.9,
Cucumber tomato juice,1 glass,44,9.3,1.9,0.4,2.6,
Sweet corn chaat,1 katori,83,10.2,1.5,4.7,1.7,
Makhana,1 katori,111,24.6,3.1,0,4.6,
Strawberries,4 piece,28,20,4.8,0.4,0,
Soaked and peeled almonds,6 almond,48,0.6,1.8,4.2,1.2,
Cucumber palak juice,1 glass,29,4.2,1.8,0.6,2.2,
Cucumber dhaniya pudina juice,1 glass,30,5.2,1.7,0.4,2.1,
Pista,1 tbsp,48,1.3,1.5,4.1,0.8,
Plain Lemon Juice,1 Glass,5,1.6,0.1,0.1,0.1,
Roasted peanuts,0.5 serving,85.5,4,3.95,6,1.65,
Murmura chana peanuts bhel,1 katori,223,31,7.2,7.9,2.2,
Puffed Rice Chivda,1 Katori,138,19.8,3.2,5.1,2.4,
Cheese Toast Sandwich,1 Piece,205,23.6,6.9,9.4,4,
Boiled peanuts,1 serving,96,2.7,4.4,8.3,1.4,
Vegetable Sandwich,1 Sandwich,220,32.5,5,8,6.4,
Chana tikki,2 piece,252,24.6,5.4,15,7.4,
Egg white burji,1 egg,55,3.7,4.2,2.5,1.2,
Sweet potato,0.5 piece,,75.5,13.5,1.05,0.05,
Grilled Vegetable Sandwich,1 Sandwich,220,32.5,5,8,6.4,
Ragi kanji,1 glass,135,12.3,6.1,6.4,0.7,
Masala Toast Sandwich,1 Piece,68,10.9,2.2,1.8,1.8,
Masala Papad,2 Piece,50,1.8,2.4,6,1.6,
Moong rava appe,4 pieces,144,20.4,5.6,4.8,3.6,
Carrot Soup,1 Bowl,106,17.7,1.6,3.3,6.4,
Oats idli,2 piece,154,21,6,5,3.6,
Palak Soup,1 Bowl,33,10.8,1.8,1.4,2.4,
Clear Chicken Soup,1 Katori,43,1.5,8.9,0.2,0.4,
Vegetable stew,1 katori,121,8.2,1.6,9.8,2.3,
Corn Cheese Sandwich,1 Sandwich,298,39.7,11.1,11.3,4,
Multigrain Toasted Potato Chatni Sandwich,1 Piece,186,35,6.1,2.4,5.2,
Popcorn plain,1 cup,31,6.2,1,0.4,1.2,
Paneer Sandwich,1 Sandwich,245,28.7,9.9,10.4,4.6,
Gur chana,0.5 katori,84,16.75,2.5,0.8,4.1,
Moong bean sprouts,1 katori,24,4.8,2.4,0.2,1.5,
Corn Cutlet,2 Piece,182,13.2,2.2,13.6,1.2,
Green tea,1 teacup,0,0,0,0,0,
